nomor_ruas,nama_ruas_raw,mantap_m,tidak_mantap_m,tahun_survei
252,Kalumpang - Baruh,2720.0,0.0,2025
253,Sirih - Pacakan,400.0,240.0,2025
254,SP.4 Mesjid Sirih - Sarang Nyamuk - Asam Tamiyang,3900.0,2200.0,2025
255,Kalumpang Selatan - Ds. Asam Tamiyang,0.0,820.0,2025
256,Balimau - Murung Dalam,0.0,1460.0,2025
257,Jl. Karya Bakti - Ds. Balimau,600.0,260.0,2025
258,Tanuhi - Ulang,5250.0,2400.0,2025
259,Loksado - Loklahung,1080.0,200.0,2025
260,Loksado - Haratai,570.0,6600.0,2025
261,Loklahung - Kamawakan,2520.0,4300.0,2025
262,Jl. Niagara (Ds. Halunuk) - Ayan,560.0,1500.0,2025
263,Malinau - Katingin - Kamawakan,3300.0,6160.0,2025
264,Loklahung - Malaris,210.0,600.0,2025
265,Jl. Bubuih - Ds. Halunuk,100.0,640.0,2025
266,Halunuk - Riam Tajam/Talo - Hamak Umpaya,4180.0,3600.0,2025
267,Jl. Muara Kitar - Desa Lumpangi,230.0,200.0,2025
268,Jl. Hulu Banyu - Pantai Langsat,1790.0,0.0,2025
269,Jl. Bayampah - Tanuhi - Tugu Niih,210.0,400.0,2025
270,Jl. Kantor Camat Loksado II,120.0,0.0,2025
271,Jl. Buntu Muara Hatib - Bts. Kab. HST,1060.0,100.0,2025
272,Tanuhi - Hulu Banyu,200.0,460.0,2025
273,Hulu Banyu - Datar Mangkung - Tumingki,4700.0,2300.0,2025
274,Lambuk - Ds. Tumingki,0.0,670.0,2025
275,Malaris - Loapanggang,100.0,1480.0,2025
276,Jl. Haratai 3 (Balai Kedayang) / SDN Haratai 3,2850.0,2400.0,2025
277,Jl. Haratai 2 (Balai Ujung Atas) SDN Haratai2,2100.0,600.0,2025
278,Jl. Bubuih (Ds. Halunuk) - Kandihin,0.0,2930.0,2025
279,Jl. Makam Habib - Desa Lumpangi,380.0,0.0,2025
280,Jl. Datar Belimbing - Muara Kitar,2760.0,2100.0,2025
281,Jl. Tanginau - Balai Haruyan,360.0,800.0,2025
282,Jl. Tataian - (Ds. Ulang) - Loksado,300.0,100.0,2025
283,Jl. Ulang - Kacang Parang,700.0,1050.0,2025
284,Jl. Kacang Parang (Ulang) - Balai Mawak-Kias,1180.0,900.0,2025
285,Jl. Kacang Parang (Ulang) - Balai Wariung,830.0,0.0,2025
286,Jl. Loksado - Pantai Dusin,2270.0,0.0,2025
287,Jl. Malinau - Kandihin,200.0,3960.0,2025
288,Jl. Ulang - Bangkaun,1360.0,2200.0,2025
289,Bayanan - Habirau Tengah,1500.0,1360.0,2025
290,Tumbukan Banyu - Banua Hanyar,5000.0,0.0,2025
291,Jl. Satria,370.0,0.0,2025
292,Jl. Musyawarah,410.0,0.0,2025
293,Jl. Sekolah Islam,400.0,0.0,2025
294,Jl. Habib,320.0,0.0,2025
295,Jl. Mawar,0.0,270.0,2025
296,Jl. Inst. PDAM Negara,160.0,100.0,2025
