nomor_ruas,nama_ruas_raw,sta_awal_raw,sta_akhir_raw,sta_start_m,sta_end_m,panjang_m,baik_m,sedang_m,rusak_ringan_m,rusak_berat_m,mantap_m,tidak_mantap_m,dominant_condition,segment_status,jenis_penanganan_raw,jenis_penanganan_norm,surface_code,surface_label,lebar_m,tahun_survei
009,Jl. Panglima Batur,100,200,100,200,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,5.0,2025
009,Jl. Panglima Batur,200,300,200,300,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,5.0,2025
009,Jl. Panglima Batur,300,400,300,400,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,5.0,2025
009,Jl. Panglima Batur,400,500,400,500,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,5.0,2025
009,Jl. Panglima Batur,500,600,500,600,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,5.0,2025
009,Jl. Panglima Batur,600,700,600,700,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,5.0,2025
009,Jl. Panglima Batur,700,800,700,800,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,5.0,2025
009,Jl. Panglima Batur,800,900,800,900,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,5.0,2025
009,Jl. Panglima Batur,900,1000,900,1000,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,5.0,2025
009,Jl. Panglima Batur,1000,1090,1000,1090,90.0,0.0,90.0,0.0,0.0,90.0,0.0,sedang,mantap,Routine,routine,A,Aspal,5.0,2025
010,Jl. Nusa Indah,0,100,0,100,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,5.0,2025
010,Jl. Nusa Indah,100,200,100,200,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,5.0,2025
010,Jl. Nusa Indah,200,300,200,300,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,5.0,2025
010,Jl. Nusa Indah,300,380,300,380,80.0,0.0,80.0,0.0,0.0,80.0,0.0,sedang,mantap,Routine,routine,A,Aspal,5.0,2025
011,Jl. Anggrek,0,100,0,100,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,3.0,2025
011,Jl. Anggrek,100,200,100,200,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,3.0,2025
011,Jl. Anggrek,200,230,200,230,30.0,30.0,0.0,0.0,0.0,30.0,0.0,baik,mantap,Routine,routine,A,Aspal,3.0,2025
012,Jl. Kenanga,0,100,0,100,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,3.0,2025
012,Jl. Kenanga,100,200,100,200,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,3.0,2025
012,Jl. Kenanga,200,230,200,230,30.0,30.0,0.0,0.0,0.0,30.0,0.0,baik,mantap,Routine,routine,A,Aspal,3.0,2025
013,Jl. Mawar (Kandangan Utara),0,100,0,100,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,7.0,2025
013,Jl. Mawar (Kandangan Utara),100,200,100,200,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,7.0,2025
013,Jl. Mawar (Kandangan Utara),200,230,200,230,30.0,0.0,30.0,0.0,0.0,30.0,0.0,sedang,mantap,Routine,routine,A,Aspal,7.0,2025
014,Jl. Kamboja,0,100,0,100,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
014,Jl. Kamboja,100,200,100,200,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
014,Jl. Kamboja,200,210,200,210,10.0,0.0,10.0,0.0,0.0,10.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
015,Jl. Dahlia,0,100,0,100,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rusak_ringan,tidak_mantap,Periodic,periodic,A,Aspal,3.0,2025
015,Jl. Dahlia,100,180,100,180,80.0,0.0,0.0,0.0,80.0,0.0,80.0,rusak_berat,tidak_mantap,Rehab/Recon,reconstruction,A,Aspal,3.0,2025
016,Jl. KS. Tubun,0,100,0,100,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rusak_ringan,tidak_mantap,Periodic,periodic,A,Aspal,3.0,2025
016,Jl. KS. Tubun,100,200,100,200,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rusak_ringan,tidak_mantap,Periodic,periodic,A,Aspal,3.0,2025
016,Jl. KS. Tubun,200,300,200,300,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rusak_ringan,tidak_mantap,Periodic,periodic,A,Aspal,3.0,2025
016,Jl. KS. Tubun,300,400,300,400,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rusak_ringan,tidak_mantap,Periodic,periodic,A,Aspal,3.0,2025
016,Jl. KS. Tubun,400,500,400,500,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,3.0,2025
016,Jl. KS. Tubun,500,600,500,600,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,3.0,2025
016,Jl. KS. Tubun,600,700,600,700,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rusak_ringan,tidak_mantap,Periodic,periodic,A,Aspal,3.0,2025
016,Jl. KS. Tubun,700,800,700,800,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,3.0,2025
016,Jl. KS. Tubun,800,900,800,900,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,3.0,2025
016,Jl. KS. Tubun,900,960,900,960,60.0,60.0,0.0,0.0,0.0,60.0,0.0,baik,mantap,Routine,routine,A,Aspal,3.0,2025
017,Jl. Pemuda,0,100,0,100,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
017,Jl. Pemuda,100,200,100,200,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
017,Jl. Pemuda,200,260,200,260,60.0,60.0,0.0,0.0,0.0,60.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
018,Jl. Parindra,0,100,0,100,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
018,Jl. Parindra,100,200,100,200,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,6.0,2025
018,Jl. Parindra,200,280,200,280,80.0,80.0,0.0,0.0,0.0,80.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
019,Jl. Wahab Syahrani,0,100,0,100,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,6.0,2025
019,Jl. Wahab Syahrani,100,120,100,120,20.0,0.0,20.0,0.0,0.0,20.0,0.0,sedang,mantap,Routine,routine,A,Aspal,6.0,2025
020,Jl. Musyawarah (Kandangan),0,100,0,100,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
020,Jl. Musyawarah (Kandangan),100,200,100,200,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,6.0,2025
020,Jl. Musyawarah (Kandangan),200,300,200,300,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,6.0,2025
020,Jl. Musyawarah (Kandangan),300,320,300,320,20.0,0.0,20.0,0.0,0.0,20.0,0.0,sedang,mantap,Routine,routine,A,Aspal,6.0,2025
021,Jl. Sekolah Islam (Kandangan Barat),0,100,0,100,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
021,Jl. Sekolah Islam (Kandangan Barat),100,200,100,200,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
022,Jl. Rahmah Bahran,0,100,0,100,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
022,Jl. Rahmah Bahran,100,200,100,200,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
022,Jl. Rahmah Bahran,200,220,200,220,20.0,0.0,20.0,0.0,0.0,20.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
023,Jl. Brigjen Katamso,0,100,0,100,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,3.5,2025
023,Jl. Brigjen Katamso,100,200,100,200,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,3.5,2025
023,Jl. Brigjen Katamso,200,300,200,300,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,3.5,2025
023,Jl. Brigjen Katamso,300,350,300,350,50.0,0.0,50.0,0.0,0.0,50.0,0.0,sedang,mantap,Routine,routine,A,Aspal,3.5,2025
024,Jl. Kolonel Sugiono,0,100,0,100,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,3.0,2025
024,Jl. Kolonel Sugiono,100,200,100,200,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,3.0,2025
024,Jl. Kolonel Sugiono,200,220,200,220,20.0,20.0,0.0,0.0,0.0,20.0,0.0,baik,mantap,Routine,routine,A,Aspal,3.0,2025
025,Singakarsa - Palas,0,100,0,100,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,100,200,100,200,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,200,300,200,300,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,300,400,300,400,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,400,500,400,500,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,500,600,500,600,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,600,700,600,700,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,700,800,700,800,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,800,900,800,900,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,900,1000,900,1000,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,1000,1100,1000,1100,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,1100,1200,1100,1200,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,1200,1300,1200,1300,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,1300,1400,1300,1400,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,1400,1500,1400,1500,100.0,0.0,0.0,0.0,100.0,0.0,100.0,rusak_berat,tidak_mantap,Rehab/Recon,reconstruction,A,Aspal,4.0,2025
025,Singakarsa - Palas,1500,1600,1500,1600,100.0,0.0,0.0,0.0,100.0,0.0,100.0,rusak_berat,tidak_mantap,Rehab/Recon,reconstruction,A,Aspal,4.0,2025
025,Singakarsa - Palas,1600,1700,1600,1700,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,1700,1800,1700,1800,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,1800,1900,1800,1900,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,1900,2000,1900,2000,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,2000,2100,2000,2100,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,2100,2200,2100,2200,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,2200,2300,2200,2300,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,2300,2400,2300,2400,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,2400,2500,2400,2500,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,2500,2600,2500,2600,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,2600,2700,2600,2700,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,2700,2800,2700,2800,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,2800,2900,2800,2900,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,4.0,2025
025,Singakarsa - Palas,2900,3000,2900,3000,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rusak_ringan,tidak_mantap,Periodic,periodic,A,Aspal,4.0,2025
025,Singakarsa - Palas,3000,3100,3000,3100,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rusak_ringan,tidak_mantap,Periodic,periodic,A,Aspal,4.0,2025
025,Singakarsa - Palas,3100,3200,3100,3200,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rusak_ringan,tidak_mantap,Periodic,periodic,A,Aspal,4.0,2025
025,Singakarsa - Palas,3200,3300,3200,3300,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rusak_ringan,tidak_mantap,Periodic,periodic,A,Aspal,4.0,2025
025,Singakarsa - Palas,3300,3400,3300,3400,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rusak_ringan,tidak_mantap,Periodic,periodic,A,Aspal,4.0,2025
025,Singakarsa - Palas,3400,3500,3400,3500,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rusak_ringan,tidak_mantap,Periodic,periodic,A,Aspal,4.0,2025
025,Singakarsa - Palas,3500,3600,3500,3600,100.0,0.0,0.0,100.0,0.0,0.0,100.0,rusak_ringan,tidak_mantap,Periodic,periodic,A,Aspal,4.0,2025
