geometry_road_name,geometry_legacy_ref,resolved_key,dd2_feature_found,lookup_method,matched_dd2_name,reason_if_missing
"Jl. Firdaus","ruas_323","firdaus - desa kapuh",true,"manual_alias","Firdaus - Ds. Kapuh",""
"Jl. Pajah Api","ruas_324","pajah api - desa kapuh",true,"alias","Pajah Api - Ds. Kapuh",""
"Jl. Banua Kambang","ruas_325","banua kambang - desa wasah tengah",true,"alias","Banua Kambang - Ds. Wasah Tengah",""
"Jl. TPA Sungai Raya Selatan","ruas_326","tpa - desa sungai raya selatan",true,"alias","TPA - Ds. Sungai Raya Selatan",""
"Jl. Tanah Habang - Ds. Simpur","ruas_327","tanah habang - desa simpur",true,"direct","Tanah Habang - Ds. Simpur",""
"Jl. Palajau - Ds. Baluti","ruas_328","palajau - desa baluti",true,"direct","Palajau - Ds. Baluti",""
"Jl. Kalaka Dayuh - Ds. Sungai Raya Utara","ruas_329","kalaka dayuh - desa sungai raya utara",true,"direct","Kalaka Dayuh - Ds. Sungai Raya Utara",""
"Jl. Karya Bakti TNI - Ds. Balimau","ruas_330","karya bakti - desa balimau",true,"alias","Karya Bakti - Ds. Balimau",""
"Batang Kulur Kanan - Batang Kulur Kiri","ruas_331","batang kulur kanan - batang kulur kiri",true,"direct","Batang Kulur Kanan - Batang Kulur Kiri",""
"Padang Batung - Batu Laki - Malilingin","ruas_332","padang batung - batulaki - malilingin",true,"te_local_alias","Padang Batung - Batulaki - Malilingin",""
"Gambir -SP. Empat Lungau","ruas_333","gambir - sp 4 lungau",true,"direct","Gambir - Sp. Empat Lungau",""
"Kaliring - SP. Padang Batung","ruas_334","kaliring - sp padang batung",true,"direct","Kaliring - Sp. Padang Batung",""
"Jl. Telapak Manuk","ruas_335","talapak manuk - desa kapuh",true,"alias","Talapak Manuk - Ds. Kapuh",""
"Bajayau - Bajayau Tengah","ruas_336","bajayau - desa bajayau tengah",true,"alias","Bajayau - Ds. Bajayau Tengah",""
"Jl. Badaun - Ds. Bajayau Lama","ruas_337","badaun - desa bjayau lama",true,"te_local_alias","Badaun - Ds. Bjayau Lama",""
"Negara - Tumbukan Banyu","ruas_338","negara - tumbukan banyu",true,"direct","Negara - Tumbukan Banyu",""
"Simpang Jadi Makmur Ds. Samuda","ruas_339","simpang jadi makmur - desa samuda",true,"te_local_alias","Simpang Jadi Makmur - Ds. Samuda",""
"Jl. Padang Haur - Ds. Wasah Tengah","ruas_340","padang haur - desa wasah tengah",true,"direct","Padang Haur - Ds. Wasah Tengah",""
"Jl. Goha - Ds. Amawang Kanan","ruas_341","goha - desa amawang kanan",true,"direct","Goha - Ds. Amawang Kanan",""
"Jl. Sungai Durian - Ds. Gumbil","ruas_342","sungai durian - desa gumbil",true,"direct","Sungai Durian - Ds. Gumbil",""
"Jl. Al - Ikhlas - Ds. Baluti","ruas_343","al - ikhlas - desa baluti",true,"direct","Al - Ikhlas - Ds. Baluti",""
"Jl. Anjiran Rantauan - Ds. Taniran Tengah","ruas_344","anjiran rantauan - desa taniran tengah",true,"direct","Anjiran Rantauan - Ds. Taniran Tengah",""
"Jl. Angkakai - Ds. Amawang Kiri","ruas_345","angkakai - desa amawang kiri",true,"direct","Angkakai - Ds. Amawang Kiri",""
"Jl. Keramat Sakti -  Ds. Tebing Tinggi","ruas_346","keramat sakti - desa tebing tinggi",true,"direct","Keramat Sakti - Ds. Tebing Tinggi",""
"Jl. Asam Duhat - Ds. Pantai Ulin","ruas_347","asam duhat - desa pantai ulin",true,"direct","Asam Duhat - Ds. Pantai Ulin",""
"SP.3 Bukuanin - Tayub","ruas_348","sp 3 bukuanin - tayub",true,"direct","Sp.3 Bukuanin - Tayub",""
"Jl. Galuntang Tayub - Ds. Madang","ruas_349","galuntang tayub - desa madang",true,"direct","Galuntang Tayub - Ds. Madang",""
"Jl. AMD - Ds. Lok Binuang","ruas_350","amd - desa lok binuang",true,"direct","AMD - Ds. Lok Binuang",""
