appendix_name,scenario_id,model,score_type,rank,export_rank,road_key,nama_ruas,nomor_ruas,desa_yang_dilalui,kecamatan_yang_dilalui,score,pred_prob,final_score,base_prob,rerank_score,planned_any_2026,planned_teknokratis_2026,planned_tender_2026,planned_pl_2026,is_top35,is_top70,is_top105
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,120,120,keramat sakti - desa tebing tinggi,keramat sakti – desa tebing tinggi,,,,0.6161714285714287,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,121,121,wahab syahrani,wahab syahrani,,,,0.6151428571428572,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,122,122,pianggu,pianggu,,,,0.6137142857142859,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,123,123,karang jawa - ambarai - sei bungur,karang jawa – ambarai – sei bungur,,,,0.6107285714285714,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,124,124,kandangan hulu - sp tabihi,kandangan hulu – sp tabihi,,,,0.6073714285714286,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,125,125,halaban,Halaban,,,,0.6073000000000001,,,,,0,1,0,0,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,126,126,bangga,bangga,,,,0.6065857142857144,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,127,127,kalumpang - balimau,kalumpang – balimau,,,,0.6063571428571428,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,128,128,asam duhat - desa pantai ulin,Asam Duhat - Ds. Pantai Ulin,,,,0.6051857142857143,,,,,1,0,1,0,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,129,129,tembok baru asam cangkok,tembok baru asam cangkok,,,,0.6029,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,130,130,pandan sari - desa angkinang,pandan sari – desa angkinang,,,,0.6004714285714287,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,131,131,guru h izim - desa pantai ulin,Guru H. Izim - Ds. Pantai Ulin,,,,0.5994714285714287,,,,,0,1,0,0,0,0,0
