;;  ;
No. Mata;Uraian;Satuan; Harga 
Pembayaran;;; Satuan 
;;; (Rupiah) 
A;b;c; e 
;;;
;Penyediaan Bahan Olahan Lapis Fondasi Agregat Kelas A;; 549.681,64 
5.1.(1);Lapis Pondasi Agregat Kelas A;M3; 880.275,57 
5.1.(2);Lapis Pondasi Agregat Kelas B;M3; 785.952,18 
5.1.(3a);Lapis Pondasi Agregat Kelas S;M3; 790.046,98 
5.1.(3b);Lapis Pondasi Agregat Kelas C;M3; 790.943,52 
5.1.(4);Lapis Drainase;M3; 838.760,33 
5.2,(1);Lapis Permukaan Agregat Tanpa Penutup Aspal;M3; 725.436,75 
5.2,(2);Lapis Pondasi Agregat Tanpa Penutup Aspal;M3; 648.671,41 
5.3.(1.a);Perkerasan Beton Semen;M3; 2.224.946,08 
5.3.(1.a) v.2;Perkerasan Beton Semen (Variasi 2);M3; 2.839.682,25 
5.3.(1.b);Perkerasan Beton Semen Fast Track 8 Jam ;M3; 7.623.463,40 
5.3.(1.c);Perkerasan Beton Semen  Fast Track 24 Jam;M3; 7.150.201,89 
5.3.(1.d);Perkerasan Beton Semen Untuk Pembukaan Lalu lintas Umur Beton >3hari <7hari;M3; 6.151.853,28 
5.3.(2.a);Perkerasan Beton Semen dengan Anyaman Tulangan Tunggal ;M3; 2.793.751,46 
5.3.(2.a) v.2;Perkerasan Beton Semen dengan Anyaman Tulangan Tunggal (Variasi 2);M3; 2.864.981,85 
5.3.(2.b);Perkerasan Beton Semen Fast Track 8 Jam dengan Anyaman Tulangan Tunggal ;M3; 4.419.783,82 
5.3.(2.c);Perkerasan Beton Semen Fast Track 24 Jam dengan Anyaman Tulangan Tunggal ;M3; 7.598.568,31 
5.3.(3);Lapis Pondasi bawah Beton Kurus;M3; 1.562.691,55 
5.3.(3) v.2;Lapis Pondasi bawah Beton Kurus (Variasi 2);M3; 2.249.718,56 
5.4.(1);Stabilisasi Tanah Dasar dengan Semen;Ton; 385.460,30 
