dd2_row_index,dd2_road_name_raw,dd2_normalized_key,canonical_road_name,canonical_road_key,match_method,confidence_or_reason,notes
96,Sp. 4 Baru/Tampang - Sp. Bilui Pamujaan,sp 4 baru tampang - sp bilui pamujaan,Sp. 4 Baru/Tampang - Sp. Bilui Pamujaan,sp 4 baru tampang - sp bilui pamujaan,direct,,
97,Asam Cangkuk - Telaga Bidadari,asam cangkuk - telaga bidadari,Asam Cangkuk - Telaga Bidadari,asam cangkuk - telaga bidadari,direct,,
98,Hamalau - Pahampangan,hamalau - pahampangan,Hamalau - Pahampangan,hamalau - pahampangan,direct,,
99,Ida Manggala - Padang Makmur,ida manggala - padang makmur,Ida Manggala - Padang Makmur,ida manggala - padang makmur,direct,,
100,Simpang Hamalau - Teluk Pinang,sp hamalau - teluk pinang,Simpang Hamalau - Teluk Pinang,sp hamalau - teluk pinang,direct,,
101,Teluk Pinang - Pahampangan Utara,teluk pinang - pahampangan utara,Teluk Pinang - Pahampangan Utara,teluk pinang - pahampangan utara,direct,,
102,Hamalau - Telaga Bidadari - Wasah Hilir,hamalau - telaga bidadari - wasah hilir,Hamalau - Telaga Bidadari - Wasah Hilir,hamalau - telaga bidadari - wasah hilir,direct,,
103,Karasikan - Sarang Halang,karasikan - sarang halang,Karasikan - Sarang Halang,karasikan - sarang halang,direct,,
104,Tanjungan - Sp. 3 Sakijang,tanjungan - sp 3 sakijang,Tanjungan - Sp. 3 Sakijang,tanjungan - sp 3 sakijang,direct,,
105,Sarang Halang Padang - Sp. Batang Kulur,sarang halang padang - sp batang kulur,Sarang Halang Padang - Sp. Batang Kulur,sarang halang padang - sp batang kulur,direct,,
106,Hamalau - Ganda,hamalau - ganda,Hamalau - Ganda,hamalau - ganda,direct,,
107,Tamiyang - Ds. Tamiyang (Eks TMMD),tamiyang - desa tamiyang eks,Tamiyang - Ds. Tamiyang (Eks TMMD),tamiyang - desa tamiyang eks,direct,,
108,Tanah Bangkang Menuju Balai Benih Ikan,tanah bangkang menuju balai benih ikan,Tanah Bangkang Menuju Balai Benih Ikan,tanah bangkang menuju balai benih ikan,direct,,
109,Karang Intan - Tanah Bangkang,karang intan - tanah bangkang,Karang Intan - Tanah Bangkang,karang intan - tanah bangkang,direct,,
110,Jl. Haritas (PT. Pertani),haritas pt pertani,Haritas (PT. Pertani),haritas pt pertani,direct,,
111,Paharuangan - Sei. Raya Selatan,paharuangan - sei raya selatan,Paharuangan - Sei. Raya Selatan,paharuangan - sei raya selatan,direct,,
112,Jl. Bangga TMMD,bangga,Bangga TMMD,bangga,direct,,
113,Batang Kulur Kiri - Durian Landung,batang kulur kiri - durian landung,Batang Kulur Kiri - Durian Landung,batang kulur kiri - durian landung,direct,,
114,Jl. Taminung,taminung,Taminung,taminung,direct,,
115,Matang Gadung - Halalang,matang gadung - halalang,Matang Gadung - Halalang,matang gadung - halalang,direct,,
