comparison_name,K,category,road_key,road_name,rank_A,rank_B,A_scenario_id,A_model,A_score_type,B_scenario_id,B_model,B_score_type
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,angkinang - telaga langsat,Angkinang - Telaga Langsat,12,51,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,hamalau - ganda,Hamalau - Ganda,13,49,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,palajau - desa baluti,Palajau - Ds. Baluti,16,3,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,sei raya - jambu hulu paku,Sungai Raya - Jambu Hulu/Paku,20,56,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,pandak daun - baruh jaya - samuda,Pandak Daun - Baruh Jaya - Samuda,21,12,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,bayanan - habirau tengah,Bayanan - Habirau Tengah,22,14,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,taniran selatan kubah - buntut taniran wawaran,Taniran Selatan Kubah - Buntut Taniran / Wawaran,23,2,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,tambangan - desa baruh jaya,Tambangan - Ds. Baruh Jaya,26,10,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,amawang muka - getek,Amawang Muka - Getek,29,42,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,asam cangkuk - telaga bidadari,Asam Cangkuk - Telaga Bidadari,31,32,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,taal batang kulur - sp 3 muara prg agung,Taal Batang Kulur - Sp. 3 Muara Prg Agung,34,38,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,hamalau - telaga bidadari - wasah hilir,Hamalau - Telaga Bidadari - Wasah Hilir,36,26,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,tumbukan banyu - banua hanyar,Tumbukan Banyu - Banua Hanyar,43,44,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,baluti - jambu hulu paku,Baluti - Jambu Hulu (Paku),46,33,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,panggang hijau - desa tawar,Panggang Hijau - Ds. Tawar,47,62,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,samping bappeda - mesjid darul halik,Samping Bappeda - Mesjid Darul Halik,51,41,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,sp 4 banjarbaru - pihanin raya,SP.4. Banjarbaru - Pihanin Raya,52,45,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,padang batung - batulaki - malilingin,Padang Batung - Batulaki - Malilingin,53,1,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,sei paring - sei hanyar pantai ulin,Sungai Paring - Sei Hanyar Pantai Ulin,56,6,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,wasah hilir - amparaya,Wasah Hilir - Amparaya,61,36,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,paku jambu hulu - ganda,Paku (Jambu Hulu) - Ganda,63,19,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,pakan dalam - kaminting batu,Pakan Dalam - Kaminting Batu,66,34,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,padang haur - desa wasah tengah,Padang Haur - Ds. Wasah Tengah,67,4,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,pangeran antasari - loklua,Pangeran Antasari - Loklua,69,66,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,panglima batur,Panglima Batur,1,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,aluh idut,Aluh Idut,2,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,kandangan hulu - sp tabihi,Kandangan Hulu - Sp. Tabihi,4,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,merah johansyah - melati,Merah Johansyah - Melati,5,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,pemuda,Pemuda,7,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,bakarung - rantauan,Bakarung - Rantauan,8,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,parindra,Parindra,9,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,wasah tengah - sei tarap,Wasah Tengah - Sungai Tarap,10,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,kesehatan - komp rmh dokter,Kesehatan - Komp. Rmh Dokter,11,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,simpur - sp 3 muara paring agung,Simpur - Sp. 3 Muara Paring Agung,14,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,anggrek,Anggrek,15,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,teluk mesjid - sp 4 muara banta,Teluk Mesjid - Sp. 4 Muara Banta,17,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,wahab syahrani,Wahab Syahrani,18,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,menuju stadion 2 desember,Menuju Stadion 2 Desember,19,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,sekolah islam kandangan barat,Sekolah Islam (Kandangan Barat),24,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,ks tubun,KS. Tubun,25,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,tibung raya - asam cangkuk,Tibung Raya - Asam Cangkuk,27,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,taniran selatan - rantauan,Taniran Selatan - Rantauan,28,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,hamalau - pahampangan,Hamalau - Pahampangan,30,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,rantauan - sei baru pulau,Rantauan - Sungai Baru (Pulau),32,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,wasah hilir - sarang halang,Wasah Hilir - Sarang Halang,33,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,newangsekarti - desa gambah luar muka,Newangsekarti - Ds. Gambah Luar Muka,35,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,papancan - desa tanah bangkang,Papancan - Ds. Tanah Bangkang,37,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,air miris - desa wasah hilir,Air Miris - Ds. Wasah Hilir,38,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,kolonel sugiono,Kolonel Sugiono,39,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,aes nasution,AES Nasution,40,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,musyawarah nagara,Musyawarah (Nagara),41,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,pertanian - desa wasah tengah,Pertanian - Ds. Wasah Tengah,42,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,karang intan - tanah bangkang,Karang Intan - Tanah Bangkang,44,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,haritas pt pertani,Haritas (PT. Pertani),45,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,tawia - kayu abang,Tawia - Kayu Abang,48,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,tembok kacil sei kudung,Tembok Kacil. Sei. Kudung,49,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,bina bakat,Bina Bakat,50,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,tungkaran - desa ulin,Tungkaran - Ds. Ulin,54,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,slasa garih - desa kapuh,Slasa Garih - Ds. Kapuh,55,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,al - ikhlas - desa baluti,Al - Ikhlas - Ds. Baluti,57,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,gerilya - desa simpur,Gerilya - Ds. Simpur,58,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,kalumpang - baruh,Kalumpang - Baruh,59,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,hamalau - asam cangkok,Hamalau - Asam Cangkok,60,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,jangkang - desa wasah hilir,Jangkang - Ds. Wasah Hilir,62,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,A_only,pandan sari - desa angkinang,Pandan Sari - Ds. Angkinang,64,,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
