no_ruas_digit_1,no_ruas_digit_2,no_ruas_digit_3,nama_ruas_raw,kecamatan_dilalui,panjang_ruas_km,lebar_ruas_m,perkerasan_hotmix_km,perkerasan_lapen_makadam_km,perkerasan_beton_km,perkerasan_telford_kerikil_km,perkerasan_tanah_belum_tembus_km,kondisi_baik_km,kondisi_baik_pct_decimal,kondisi_sedang_km,kondisi_sedang_pct_decimal,kondisi_rusak_ringan_km,kondisi_rusak_ringan_pct_decimal,kondisi_rusak_berat_km,kondisi_rusak_berat_pct_decimal,lhr,akses_npk,keterangan_tahun,extra_24,no_ruas
0,5,5,Gambah Luar - Sungai Kudung,Kandangan,0.89,3.5,0.8899999856948853,0,0,0,0,0,0,0.38999998569488525,0.4382022311178486,0.4000000059604645,0.4494382089443421,0.10000000149011612,0.11235955223608553,0,0,2025,,055
0,5,6,Bakarung Tengah - Karang Jawa,Kandangan - Padang Batung,3.77,3.5,3.7699999809265137,0,0,0,0,0,0,3.069999933242798,0.814323589719575,0.699999988079071,0.18567638941089418,0,0,0,0,2025,,056
0,5,7,Jl. Papagaran/Palangsatan,Kandangan - Simpur,1,3,1,0,0,0,0,0,0,0.30000001192092896,0.30000001192092896,0.699999988079071,0.699999988079071,0,0,0,0,2025,,057
0,5,8,Jl. Tembok Kacil. Sei. Kudung,Kandangan - Padang Batung,0.37,3,0.3700000047683716,0,0,0,0,0,0,0.30000001192092896,0.8108108430295378,0.07000000029802322,0.18918918999465736,0,0,0,0,2025,,058
0,5,9,Jl. Mesjid Quba,Kandangan,0.21,3.5,0.20999999344348907,0,0,0,0,0,0,0.20999999344348907,0.9999999687785195,0,0,0,0,0,0,2025,,059
0,6,0,Jl. Sungai Karuh ,Kandangan,1.96,3,1.9600000381469727,0,0,0,0,0,0,1.9600000381469727,1.0000000194627412,0,0,0,0,0,0,2025,,060
0,6,1,Rambai - Bariang,Kandangan,1.21,3,1.2100000381469727,0,0,0,0,0,0,0.6000000238418579,0.49586778829905614,0.20000000298023224,0.16528925866134897,0.4099999964237213,0.33884297225100934,0,0,2025,,061
0,6,2,Jangkang - Pantai Ulin,Kandangan,1.69,3,1.100000023841858,0,0,0.5899999737739563,0,1,0.591715976331361,0,0,0.10000000149011612,0.05917159851486161,0.5899999737739563,0.34911241051713393,0,0,2025,,062
0,6,3,Jl. Padang Palas,Kandangan,0.68,3,0.6800000071525574,0,0,0,0,0,0,0.47999998927116394,0.7058823371634764,0.20000000298023224,0.29411765144151797,0,0,0,0,2025,,063
0,6,4,Tibung Dalam - Teratai,Kandangan - Sungai Raya,0.52,3,0.5199999809265137,0,0,0,0,0,0,0.41999998688697815,0.807692282474958,0.10000000149011612,0.19230769517330024,0,0,0,0,2025,,064
0,6,5,Jl. Kalaka Indah - Perumnas Tibung,Kandangan,0.41,3.5,0.4099999964237213,0,0,0,0,0,0,0.4099999964237213,0.9999999912773692,0,0,0,0,0,0,2025,,065
0,6,6,Jl. Teratai Menuju Komplek Perumnas Hamalau,Kandangan - Sungai Raya,0.41,3,0.4099999964237213,0,0,0,0,0.10000000149011612,0.24390244265881983,0.3100000023841858,0.7560975667906971,0,0,0,0,0,0,2025,,066
0,6,7,Teluk Pinang - Baluti,Kandangan,1.64,3.5,1.6399999856948853,0,0,0,0,0,0,1.6399999856948853,0.9999999912773692,0,0,0,0,0,0,2025,,067
0,6,8,Tibung Raya - Hamalau Dalam,Kandangan,0.91,3.5,0.9100000262260437,0,0,0,0,0.20000000298023224,0.21978022305520026,0.6000000238418579,0.6593406855405032,0.10999999940395355,0.12087912022412478,0,0,0,0,2025,,068
0,6,9,Jl. Baiturrahim Parincahan,Kandangan,1.42,3,1.2000000476837158,0,0,0.2199999988079071,0,0,0,0.30000001192092896,0.21126761402882321,0.30000001192092896,0.21126761402882321,0.820000022649765,0.5774648046829332,0,0,2025,,069
0,7,0,Jl. Newangsekarti - Ds. Gambah Luar Muka,Kandangan,0.29,3,0.28999999165534973,0,0,0,0,0.28999999165534973,0.999999971225344,0,0,0,0,0,0,0,0,2025,,070
0,7,1,Jl. Tembok Baru (Asam Cangkok),Kandangan,0.5,3,0.5,0,0,0,0,0,0,0.4000000059604645,0.800000011920929,0.10000000149011612,0.20000000298023224,0,0,0,0,2025,,071
0,7,2,Sungai Paring - Toba,Kandangan - Simpur,0.84,3,0.8399999737739563,0,0,0,0,0,0,0.30000001192092896,0.3571428713344392,0.5400000214576721,0.6428571684019906,0,0,0,0,2025,,072
0,7,3,Jl. Tembok Baru - Ds. Baluti,Kandangan,0.14,3,0.14000000059604645,0,0,0,0,0,0,0.03999999910593033,0.28571427932807375,0.10000000149011612,0.7142857249294008,0,0,0,0,2025,,073
0,7,4,Jl. H. Jarkasi - Ds. Sungai Paring,Kandangan,0.12,3,0.11999999731779099,0,0,0,0,0,0,0.10000000149011612,0.8333333457509677,0.019999999552965164,0.1666666629413764,0,0,0,0,2025,,074
0,7,5,Bariang - Patigan,Kandangan,1.63,3,1.6299999952316284,0,0,0,0,0.6000000238418579,0.3680981741361092,1.0299999713897705,0.6319018229385096,0,0,0,0,0,0,2025,,075
0,7,6,Gambah Dalam Barat - Mahulung,Kandangan - Angkinang,1.92,3,1.9199999570846558,0,0,0,0,0.11999999731779099,0.06249999860301614,1.7999999523162842,0.9374999751647314,0,0,0,0,0,0,2025,,076
0,7,7,Jl. Suriangpati - Gambah Dalam Barat,Kandangan,2.82,3,0.800000011920929,0,0,2.0199999809265137,0,0.10000000149011612,0.03546099343621139,0.10000000149011612,0.03546099343621139,0.5,0.1773049645390071,2.11999998241663,0.7517730434101525,0,0,2025,,077
0,7,8,Jl. Menuju SMP 7 - Ds. Gambah Dalam,Kandangan,1,3,1,0,0,0,0,0,0,0.4000000059604645,0.4000000059604645,0.6000000238418579,0.6000000238418579,0,0,0,0,2025,,078
